,Sentence #,Tag,Word
0,0,ORG,EU
1,0,O,rejects
2,0,O,German
3,0,O,call
4,0,O,to
5,0,O,boycott
6,0,O,British
7,0,O,lamb
8,1,PER,Blackburn
9,1,LOC,BRUSSELS
10,0,O,.
11,1,PER,Peter
12,1,O,1996-08-22
13,1,O,The
14,1,ORG,European
15,1,ORG,Commission
16,1,O,said
17,1,O,on
18,1,O,Thursday
19,1,O,it
20,1,O,disagreed
21,1,O,with
22,1,O,German
23,1,O,advice
24,1,O,to
25,1,O,consumers
26,1,O,to
27,1,O,shun
28,1,O,British
29,1,O,lamb
30,1,O,until
31,1,O,scientists
32,1,O,determine
33,1,O,whether
34,1,O,mad
35,1,O,cow
36,1,O,disease
37,1,O,can
38,1,O,be
39,1,O,transmitted
40,1,O,to
41,1,O,sheep
42,1,O,.
43,2,LOC,Germany
44,2,O,'s
45,2,O,representative
46,2,O,to
47,2,O,the
48,2,ORG,European
49,2,ORG,Union
50,2,O,'s
51,2,O,veterinary
52,2,PER,Zwingmann
53,2,O,said
54,2,O,committee
55,2,PER,Werner
56,2,O,on
57,2,O,Wednesday
58,2,O,consumers
59,2,O,should
60,2,O,buy
61,2,O,sheepmeat
62,2,O,from
63,2,O,countries
64,2,O,other
65,2,O,than
66,2,LOC,Britain
67,2,O,until
68,2,O,the
69,2,O,scientific
70,2,O,advice
71,2,O,was
72,2,O,clearer
73,2,O,.
75,3,O,We
76,3,O,do
77,3,O,n't
78,3,O,support
79,3,O,any
80,3,O,such
81,3,O,recommendation
82,3,O,because
83,3,O,we
84,3,O,do
85,3,O,n't
86,3,O,see
87,3,O,any
88,3,O,grounds
89,3,O,for
90,3,O,it
91,3,O,","
93,3,O,the
94,3,ORG,Commission
95,3,O,'s
96,3,O,chief
97,3,O,spokesman
98,3,PER,Nikolaus
99,3,PER,Pas
100,3,O,told
101,3,O,a
102,3,O,news
103,3,PER,van
104,3,PER,der
105,3,O,briefing
106,3,O,.
107,4,O,He
108,4,O,said
109,4,O,further
110,4,O,scientific
111,4,O,study
112,4,O,was
113,4,O,required
114,4,O,and
115,4,O,if
116,4,O,it
117,4,O,was
118,4,O,found
119,4,O,that
120,4,O,action
121,4,O,was
122,4,O,needed
123,4,O,it
124,4,O,should
125,4,O,be
126,4,O,taken
127,4,O,by
128,4,O,the
129,4,ORG,European
130,4,ORG,Union
131,4,O,.
132,5,O,He
133,5,O,said
134,5,O,a
135,5,O,proposal
136,5,O,last
137,5,O,month
138,5,O,by
139,5,ORG,EU
140,5,O,Farm
141,5,O,Commissioner
142,5,PER,Franz
143,5,O,ban
144,5,O,sheep
145,5,PER,Fischler
146,5,O,to
147,5,O,brains
148,5,O,","
149,5,O,spleens
150,5,O,and
151,5,O,spinal
152,5,O,cords
153,5,O,from
154,5,O,the
155,5,O,human
156,5,O,and
157,5,O,animal
158,5,O,food
159,5,O,chains
160,5,O,was
161,5,O,a
162,5,O,highly
163,5,O,specific
164,5,O,and
165,5,O,precautionary
166,5,O,move
167,5,O,to
168,5,O,protect
169,5,O,human
170,5,O,health
171,5,O,.
172,6,PER,Fischler
173,6,O,proposed
174,6,O,EU-wide
175,6,O,measures
176,6,O,after
177,6,O,reports
178,6,O,from
179,6,LOC,Britain
180,6,O,and
181,6,LOC,France
182,6,O,that
183,6,O,under
184,6,O,laboratory
185,6,O,conditions
186,6,O,sheep
187,6,O,could
188,6,O,contract
189,6,O,Bovine
190,6,O,Spongiform
191,6,O,Encephalopathy
192,6,O,(
193,6,O,BSE
194,6,O,)
195,6,O,--
196,6,O,mad
197,6,O,cow
198,6,O,disease
199,6,O,.
200,7,O,But
201,7,PER,Fischler
202,7,O,agreed
203,7,O,to
204,7,O,review
205,7,O,his
206,7,O,proposal
207,7,O,after
208,7,O,the
209,7,ORG,EU
210,7,O,'s
211,7,O,standing
212,7,O,veterinary
213,7,O,committee
214,7,O,","
215,7,O,mational
216,7,O,animal
217,7,O,health
218,7,O,officials
219,7,O,","
220,7,O,questioned
221,7,O,if
222,7,O,such
223,7,O,action
224,7,O,was
225,7,O,justified
226,7,O,as
227,7,O,there
228,7,O,was
229,7,O,only
230,7,O,a
231,7,O,slight
232,7,O,risk
233,7,O,to
234,7,O,human
235,7,O,health
236,7,O,.
237,8,O,Spanish
238,8,O,Farm
239,8,O,Minister
240,8,PER,Loyola
241,8,O,had
242,8,O,earlier
243,8,O,accused
244,8,PER,Palacio
245,8,PER,de
246,8,PER,Fischler
247,8,ORG,EU
248,8,O,an
249,8,O,at
250,8,O,farm
251,8,O,ministers
252,8,O,'
253,8,O,meeting
254,8,O,of
255,8,O,causing
256,8,O,unjustified
257,8,O,alarm
258,8,O,through
260,8,O,dangerous
261,8,O,generalisation
262,8,O,.
264,9,O,.
265,10,O,Only
266,10,LOC,France
267,10,O,and
268,10,LOC,Britain
269,10,O,backed
270,10,PER,Fischler
271,10,O,'s
272,10,O,proposal
273,11,ORG,EU
274,11,O,The
275,10,O,.
276,11,O,'s
277,11,O,scientific
278,11,O,veterinary
279,11,O,and
280,11,O,multidisciplinary
281,11,O,committees
282,11,O,are
283,11,O,due
284,11,O,to
285,11,O,re-examine
286,11,O,the
287,11,O,issue
288,11,O,early
289,11,O,next
290,11,O,month
291,11,O,and
292,11,O,make
293,11,O,recommendations
294,11,O,to
295,11,O,the
296,11,O,senior
297,11,O,veterinary
298,11,O,officials
299,11,O,.
300,12,O,Sheep
301,12,O,have
302,12,O,long
303,12,O,been
304,12,O,known
305,12,O,to
306,12,O,contract
307,12,O,scrapie
308,12,O,","
309,12,O,a
310,12,O,brain-wasting
311,12,O,disease
312,12,O,similar
313,12,O,to
314,12,O,BSE
315,12,O,which
316,12,O,is
317,12,O,believed
318,12,O,to
319,12,O,have
320,12,O,been
321,12,O,transferred
322,12,O,to
323,12,O,cattle
324,12,O,through
325,12,O,feed
326,12,O,containing
327,12,O,animal
328,12,O,waste
329,12,O,.
330,13,O,British
331,13,O,farmers
332,13,O,denied
333,13,O,on
334,13,O,Thursday
335,13,O,there
336,13,O,was
337,13,O,any
338,13,O,danger
339,13,O,to
340,13,O,human
341,13,O,health
342,13,O,from
343,13,O,their
344,13,O,sheep
345,13,O,","
346,13,O,but
347,13,O,expressed
348,13,O,concern
349,13,O,that
350,13,O,German
351,13,O,government
352,13,O,advice
353,13,O,to
354,13,O,consumers
355,13,O,to
356,13,O,avoid
357,13,O,British
358,13,O,lamb
359,13,O,might
360,13,O,influence
361,13,O,consumers
362,13,O,across
363,13,LOC,Europe
364,13,O,.
366,14,O,What
367,14,O,we
368,14,O,have
369,14,O,to
370,14,O,be
371,14,O,extremely
372,14,O,careful
373,14,O,of
374,14,O,is
375,14,O,how
376,14,O,other
377,14,O,countries
378,14,O,are
379,14,O,going
380,14,O,to
381,14,O,take
382,14,LOC,Germany
383,14,O,'s
384,14,O,lead
385,14,O,","
387,14,ORG,Welsh
388,14,ORG,National
389,14,ORG,Farmers
390,14,ORG,'
391,14,ORG,Union
392,14,O,(
393,14,ORG,NFU
394,14,O,)
395,14,O,chairman
396,14,PER,John
397,14,PER,Lloyd
398,14,PER,Jones
399,14,O,said
400,14,O,on
401,14,O,.
402,15,LOC,Bonn
403,15,O,has
404,14,ORG,radio
405,14,ORG,BBC
406,15,O,led
407,15,O,efforts
408,15,O,to
409,15,O,protect
410,15,O,public
411,15,O,health
412,15,O,after
413,15,O,consumer
414,15,O,confidence
415,15,O,collapsed
