,Sentence #,Tag,Word
0,0,ORG,Eu
1,0,O,rejects
2,0,O,German
3,0,O,call
4,0,O,to
5,0,O,boycott
6,0,O,British
7,0,O,lamb
8,0,O,.
9,1,PER,Pieter
10,1,PER,Blackburn
11,1,LOC,Brussels
12,1,O,1996-08-22
13,1,O,The
14,1,ORG,European
15,1,ORG,Commision
16,1,O,said
17,1,O,on
18,1,O,Thursday
19,1,O,it
20,1,O,disagreed
21,1,O,with
22,1,O,German
23,1,O,advice
24,1,O,to
25,1,O,consumers
26,1,O,to
27,1,O,shun
28,1,O,British
29,1,O,lamb
30,1,O,until
31,1,O,scientists
32,1,O,determine
33,1,O,whether
34,1,O,mad
35,1,O,cow
36,1,O,disease
37,1,O,can
38,1,O,be
39,1,O,transmitted
40,1,O,to
41,1,O,sheep
42,1,O,.
43,2,LOC,Germany
44,2,O,'s
45,2,O,representative
46,2,O,to
47,2,O,the
48,2,ORG,European
49,2,ORG,Union
50,2,O,'s
51,2,O,veterinary
52,2,O,committee
53,2,PER,Werner
54,2,PER,Zwingmann
55,2,O,said
56,2,O,on
57,2,O,Wednesday
58,2,O,consumers
59,2,O,should
60,2,O,buy
61,2,O,sheepmeat
62,2,O,from
63,2,O,countries
64,2,O,other
65,2,O,than
66,2,LOC,Brittain
67,2,O,until
68,2,O,the
69,2,O,scientific
70,2,O,advice
71,2,O,was
72,2,O,clearer
73,2,O,.
74,3,O,We
75,3,O,do
76,3,O,n't
77,3,O,support
78,3,O,any
79,3,O,such
80,3,O,recommendation
81,3,O,because
82,3,O,we
83,3,O,do
84,3,O,n't
85,3,O,see
86,3,O,any
87,3,O,grounds
88,3,O,for
89,3,O,it
90,3,O,","
91,3,O,the
92,3,ORG,Commision
93,3,O,'s
94,3,O,chief
95,3,O,spokesman
96,3,PER,Nicolaus
97,3,PER,Van
98,3,PER,Dirr
99,3,PER,Paz
100,3,O,told
101,3,O,a
102,3,O,news
103,3,O,briefing
104,3,O,.
105,4,O,He
106,4,O,said
107,4,O,further
108,4,O,scientific
109,4,O,study
110,4,O,was
111,4,O,required
112,4,O,and
113,4,O,if
114,4,O,it
115,4,O,was
116,4,O,found
117,4,O,that
118,4,O,action
119,4,O,was
120,4,O,needed
121,4,O,it
122,4,O,should
123,4,O,be
124,4,O,taken
125,4,O,by
126,4,O,the
127,4,ORG,European
128,4,ORG,Union
129,4,O,.
130,5,O,He
131,5,O,said
132,5,O,a
133,5,O,proposal
134,5,O,last
135,5,O,month
136,5,O,by
137,5,ORG,Eu
138,5,O,Farm
139,5,O,Commissioner
140,5,PER,Franze
141,5,PER,Fischler
142,5,O,to
143,5,O,ban
144,5,O,sheep
145,5,O,brains
146,5,O,","
147,5,O,spleens
148,5,O,and
149,5,O,spinal
150,5,O,cords
151,5,O,from
152,5,O,the
153,5,O,human
154,5,O,and
155,5,O,animal
156,5,O,food
157,5,O,chains
158,5,O,was
159,5,O,a
160,5,O,highly
161,5,O,specific
162,5,O,and
163,5,O,precautionary
164,5,O,move
165,5,O,to
166,5,O,protect
167,5,O,human
168,5,O,health
169,5,O,.
170,6,PER,Fischler
171,6,O,proposed
172,6,O,EU-wide
173,6,O,measures
174,6,O,after
175,6,O,reports
176,6,O,from
177,6,LOC,Brittain
178,6,O,and
179,6,LOC,France
180,6,O,that
181,6,O,under
182,6,O,laboratory
183,6,O,conditions
184,6,O,sheep
185,6,O,could
186,6,O,contract
187,6,O,Bovine
188,6,O,Spongiform
189,6,O,Encephalopathy
190,6,O,(
191,6,O,BSE
192,6,O,)
193,6,O,--
194,6,O,mad
195,6,O,cow
196,6,O,disease
197,6,O,.
198,7,O,But
199,7,PER,Fischler
200,7,O,agreed
201,7,O,to
202,7,O,review
203,7,O,his
204,7,O,proposal
205,7,O,after
206,7,O,the
207,7,ORG,Eu
208,7,O,'s
209,7,O,standing
210,7,O,veterinary
211,7,O,committee
212,7,O,","
213,7,O,mational
214,7,O,animal
215,7,O,health
216,7,O,officials
217,7,O,","
218,7,O,questioned
219,7,O,if
220,7,O,such
221,7,O,action
222,7,O,was
223,7,O,justified
224,7,O,as
225,7,O,there
226,7,O,was
227,7,O,only
228,7,O,a
229,7,O,slight
230,7,O,risk
231,7,O,to
232,7,O,human
233,7,O,health
234,7,O,.
235,8,O,Spanish
236,8,O,Farm
237,8,O,Minister
238,8,PER,Loyola
239,8,PER,De
240,8,PER,Palacio
241,8,O,had
242,8,O,earlier
243,8,O,accused
244,8,PER,Fischler
245,8,O,at
246,8,O,an
247,8,ORG,Eu
248,8,O,farm
249,8,O,ministers
250,8,O,'
251,8,O,meeting
252,8,O,of
253,8,O,causing
254,8,O,unjustified
255,8,O,alarm
256,8,O,through
257,8,O,dangerous
258,8,O,generalisation
259,8,O,.
260,9,O,.
261,10,O,Only
262,10,LOC,France
263,10,O,and
264,10,LOC,Brittain
265,10,O,backed
266,10,PER,Fischler
267,10,O,'s
268,10,O,proposal
269,10,O,.
270,11,O,The
271,11,ORG,Eu
272,11,O,'s
273,11,O,scientific
274,11,O,veterinary
275,11,O,and
276,11,O,multidisciplinary
277,11,O,committees
278,11,O,are
279,11,O,due
280,11,O,to
281,11,O,re-examine
282,11,O,the
283,11,O,issue
284,11,O,early
285,11,O,next
286,11,O,month
287,11,O,and
288,11,O,make
289,11,O,recommendations
290,11,O,to
291,11,O,the
292,11,O,senior
293,11,O,veterinary
294,11,O,officials
295,11,O,.
296,12,O,Sheep
297,12,O,have
298,12,O,long
299,12,O,been
300,12,O,known
301,12,O,to
302,12,O,contract
303,12,O,scrapie
304,12,O,","
305,12,O,a
306,12,O,brain-wasting
307,12,O,disease
308,12,O,similar
309,12,O,to
310,12,O,BSE
311,12,O,which
312,12,O,is
313,12,O,believed
314,12,O,to
315,12,O,have
316,12,O,been
317,12,O,transferred
318,12,O,to
319,12,O,cattle
320,12,O,through
321,12,O,feed
322,12,O,containing
323,12,O,animal
324,12,O,waste
325,12,O,.
326,13,O,British
327,13,O,farmers
328,13,O,denied
329,13,O,on
330,13,O,Thursday
331,13,O,there
332,13,O,was
333,13,O,any
334,13,O,danger
335,13,O,to
336,13,O,human
337,13,O,health
338,13,O,from
339,13,O,their
340,13,O,sheep
341,13,O,","
342,13,O,but
343,13,O,expressed
344,13,O,concern
345,13,O,that
346,13,O,German
347,13,O,government
348,13,O,advice
349,13,O,to
350,13,O,consumers
351,13,O,to
352,13,O,avoid
353,13,O,British
354,13,O,lamb
355,13,O,might
356,13,O,influence
357,13,O,consumers
358,13,O,across
359,13,LOC,Europe
360,13,O,.
361,14,O,What
362,14,O,we
363,14,O,have
364,14,O,to
365,14,O,be
366,14,O,extremely
367,14,O,careful
368,14,O,of
369,14,O,is
370,14,O,how
371,14,O,other
372,14,O,countries
373,14,O,are
374,14,O,going
375,14,O,to
376,14,O,take
377,14,LOC,Germany
378,14,O,'s
379,14,O,lead
380,14,O,","
381,14,ORG,Welsch
382,14,ORG,National
383,14,ORG,Farmer'S
384,14,ORG,'
385,14,ORG,Union
386,14,O,(
387,14,ORG,NFU
388,14,O,)
389,14,O,chairman
390,14,PER,Jon
391,14,PER,Loyd
392,14,PER,Jones'
393,14,O,said
394,14,O,on
395,14,ORG,Bbc
396,14,ORG,Radio
397,14,O,.
398,15,LOC,Bonne
399,15,O,has
400,15,O,led
401,15,O,efforts
402,15,O,to
403,15,O,protect
404,15,O,public
405,15,O,health
406,15,O,after
407,15,O,consumer
