,Sentence #,Tag,Word
0,0,ORG,Eu
1,0,O,rejects
2,0,O,German
3,0,O,call
4,0,O,to
5,0,O,boycott
6,0,O,British
7,1,PER,Blackburn
8,1,LOC,Brussels
9,0,O,lamb
10,1,PER,Pieter
11,1,O,19960822
12,1,O,The
13,1,ORG,European
14,1,ORG,Commision
15,1,O,said
16,1,O,on
17,1,O,Thursday
18,1,O,it
19,1,O,disagreed
20,1,O,with
21,1,O,German
22,1,O,advice
23,1,O,to
24,1,O,consumers
25,1,O,to
26,1,O,shun
27,1,O,British
28,1,O,lamb
29,1,O,until
30,1,O,scientists
31,1,O,determine
32,1,O,whether
33,1,O,mad
34,1,O,cow
35,1,O,disease
36,1,O,can
37,1,O,be
38,1,O,transmitted
39,1,O,to
40,1,O,sheep
41,2,LOC,Germany'S
42,2,O,representative
43,2,O,to
44,2,O,the
45,2,ORG,European
46,2,ORG,Union'S
47,2,O,veterinary
48,2,O,committee
49,2,PER,Werner
50,2,PER,Zwingmann
51,2,O,said
52,2,O,on
53,2,O,Wednesday
54,2,O,consumers
55,2,O,should
56,2,O,buy
57,2,O,sheepmeat
58,2,O,from
59,2,O,countries
60,2,O,other
61,2,O,than
62,2,LOC,Brittain
63,2,O,until
64,2,O,the
65,2,O,scientific
66,2,O,advice
67,2,O,was
68,2,O,clearer
69,3,O,We
70,3,O,dont
71,3,O,support
72,3,O,any
73,3,O,such
74,3,O,recommendation
75,3,O,because
76,3,O,we
77,3,O,dont
78,3,O,see
79,3,O,any
80,3,O,grounds
81,3,O,for
82,3,O,it
83,3,O,the
84,3,ORG,Commission'S
85,3,O,chief
86,3,PER,Van
87,3,PER,Dirr
88,3,PER,Paz
89,3,O,told
90,3,O,spokesman
91,3,PER,Nicolaus
92,3,O,a
93,3,O,news
94,3,O,briefing
95,4,O,He
96,4,O,said
97,4,O,further
98,4,O,scientific
99,4,O,study
100,4,O,was
101,4,O,required
102,4,O,and
103,4,O,if
104,4,O,it
105,4,O,was
106,4,O,found
107,4,O,that
108,4,O,action
109,4,O,was
110,4,O,needed
111,4,O,it
112,4,O,should
113,4,O,be
114,4,O,taken
115,4,O,by
116,4,O,the
117,4,ORG,European
118,4,ORG,Union
119,5,O,He
120,5,O,said
121,5,O,a
122,5,O,proposal
123,5,O,last
124,5,O,month
125,5,O,by
126,5,ORG,Eu
127,5,O,Farm
128,5,PER,Fischler
129,5,O,to
130,5,O,Commissioner
131,5,PER,Franze
132,5,O,ban
133,5,O,sheep
134,5,O,brains
135,5,O,spleens
136,5,O,and
137,5,O,spinal
138,5,O,cords
139,5,O,from
140,5,O,the
141,5,O,human
142,5,O,and
143,5,O,animal
144,5,O,food
145,5,O,chains
146,5,O,was
147,5,O,a
148,5,O,highly
149,5,O,specific
150,5,O,and
151,5,O,precautionary
152,5,O,move
153,5,O,to
154,5,O,protect
155,5,O,human
156,6,O,proposed
157,6,PER,Fischler
158,5,O,health
159,6,O,EUwide
160,6,O,measures
161,6,O,after
162,6,O,reports
163,6,O,from
164,6,LOC,Brittain
165,6,O,and
166,6,LOC,France
167,6,O,that
168,6,O,under
169,6,O,laboratory
170,6,O,conditions
171,6,O,sheep
172,6,O,could
173,6,O,contract
174,6,O,Bovine
175,6,O,Spongiform
176,6,O,Encephalopathy
177,6,O,BSE
178,6,O,mad
179,6,O,cow
180,6,O,disease
181,7,O,But
182,7,PER,Fischler
183,7,O,agreed
184,7,O,to
185,7,O,review
186,7,O,his
187,7,O,proposal
188,7,O,after
189,7,O,the
190,7,ORG,EUs
191,7,O,standing
192,7,O,veterinary
193,7,O,committee
194,7,O,mational
195,7,O,animal
196,7,O,health
197,7,O,officials
198,7,O,questioned
199,7,O,if
200,7,O,such
201,7,O,action
202,7,O,was
203,7,O,justified
204,7,O,as
205,7,O,there
206,7,O,was
207,7,O,only
208,7,O,a
209,7,O,slight
210,7,O,risk
211,7,O,to
212,7,O,human
213,7,O,health
214,8,O,Spanish
215,8,O,Farm
216,8,PER,De
217,8,PER,Palacio
218,8,O,had
219,8,PER,Loyola
220,8,O,Minister
221,8,O,earlier
222,8,O,at
223,8,PER,Fischler
224,8,O,accused
225,8,O,an
226,8,ORG,Eu
227,8,O,farm
228,8,O,ministers
229,8,O,meeting
230,8,O,of
231,8,O,causing
232,8,O,unjustified
233,8,O,alarm
234,8,O,through
235,8,O,dangerous
236,8,O,generalisation
237,9,O,Only
238,9,LOC,France
239,9,O,and
240,9,LOC,Brittain
241,9,O,backed
242,9,PER,Fischlers
243,9,O,proposal
244,10,O,The
245,10,ORG,EUs
246,10,O,scientific
247,10,O,veterinary
248,10,O,and
249,10,O,multidisciplinary
250,10,O,committees
251,10,O,are
252,10,O,due
253,10,O,to
254,10,O,reexamine
255,10,O,the
256,10,O,issue
257,10,O,early
258,10,O,next
259,10,O,month
260,10,O,and
261,10,O,make
262,10,O,recommendations
263,10,O,to
264,10,O,the
265,10,O,senior
266,10,O,veterinary
267,10,O,officials
268,11,O,Sheep
269,11,O,have
270,11,O,long
271,11,O,been
272,11,O,known
273,11,O,to
274,11,O,contract
275,11,O,scrapie
276,11,O,a
277,11,O,brainwasting
278,11,O,disease
279,11,O,similar
280,11,O,to
281,11,O,BSE
282,11,O,which
283,11,O,is
284,11,O,believed
285,11,O,to
286,11,O,have
287,11,O,been
288,11,O,transferred
289,11,O,to
290,11,O,cattle
291,11,O,through
292,11,O,feed
293,11,O,containing
294,11,O,animal
295,11,O,waste
296,12,O,British
297,12,O,farmers
298,12,O,denied
299,12,O,on
300,12,O,Thursday
301,12,O,there
302,12,O,was
303,12,O,any
304,12,O,danger
305,12,O,to
306,12,O,human
307,12,O,health
308,12,O,from
309,12,O,their
310,12,O,sheep
311,12,O,but
312,12,O,expressed
313,12,O,concern
314,12,O,that
315,12,O,German
316,12,O,government
317,12,O,advice
318,12,O,to
319,12,O,consumers
320,12,O,to
321,12,O,avoid
322,12,O,British
323,12,O,lamb
324,12,O,might
325,12,O,influence
326,12,O,consumers
327,12,O,across
328,12,LOC,Europe
329,13,O,What
330,13,O,we
331,13,O,have
332,13,O,to
333,13,O,be
334,13,O,extremely
335,13,O,careful
336,13,O,of
337,13,O,is
338,13,O,how
339,13,O,other
340,13,O,countries
341,13,O,are
342,13,O,going
343,13,O,to
344,13,O,take
345,13,LOC,Germany'S
346,13,O,lead
347,13,ORG,Welsch
348,13,ORG,National
349,13,ORG,Farmer'S
350,13,ORG,Union
351,13,ORG,NFU
352,13,PER,Loyd
353,13,PER,Jones'
354,13,O,said
355,13,PER,Jon
356,13,O,chairman
357,13,O,on
358,13,ORG,Bbc
359,13,ORG,Radio
360,14,LOC,Bonne
361,14,O,has
362,14,O,led
363,14,O,efforts
364,14,O,to
365,14,O,protect
366,14,O,public
367,14,O,health
368,14,O,after
369,14,O,consumer
370,14,O,confidence
371,14,O,collapsed
372,14,O,in
373,14,O,March
374,14,O,after
375,14,O,a
376,14,O,British
377,14,O,report
378,14,O,suggested
379,14,O,humans
380,14,O,could
381,14,O,contract
382,14,O,an
383,14,O,illness
384,14,O,similar
385,14,O,to
386,14,O,mad
387,14,O,cow
388,14,O,disease
389,14,O,by
390,14,O,eating
391,14,O,contaminated
392,14,O,beef
393,15,LOC,Germany
394,15,O,imported
395,15,O,47600
396,15,O,sheep
397,15,O,from
398,15,LOC,Brittain
399,15,O,last
400,15,O,year
401,15,O,nearly
402,15,O,half
403,15,O,of
404,15,O,total
