,sentence_no,Word,Tag
0,0,EU,ORG
1,0,rejects,O
2,0,German,O
3,0,call,O
4,0,to,O
5,0,boycott,O
6,0,British,O
7,0,lamb,O
8,1,Peter,PER
9,1,Blackburn,PER
10,1,BRUSSELS,LOC
11,1,19960822,O
12,1,The,O
13,1,European,ORG
14,1,Commission,ORG
15,1,said,O
16,1,on,O
17,1,Thursday,O
18,1,it,O
19,1,disagreed,O
20,1,with,O
21,1,German,O
22,1,advice,O
23,1,to,O
24,1,consumers,O
25,1,to,O
26,1,shun,O
27,1,British,O
28,1,lamb,O
29,1,until,O
30,1,scientists,O
31,1,determine,O
32,1,whether,O
33,1,mad,O
34,1,cow,O
35,1,disease,O
36,1,can,O
37,1,be,O
38,1,transmitted,O
39,1,to,O
40,1,sheep,O
41,2,Germanys,LOC
42,2,representative,O
43,2,to,O
44,2,the,O
45,2,European,ORG
46,2,Unions,ORG
47,2,veterinary,O
48,2,committee,O
49,2,Werner,PER
50,2,Zwingmann,PER
51,2,said,O
52,2,on,O
53,2,Wednesday,O
54,2,consumers,O
55,2,should,O
56,2,buy,O
57,2,sheepmeat,O
58,2,from,O
59,2,countries,O
60,2,other,O
61,2,than,O
62,2,Britain,LOC
63,2,until,O
64,2,the,O
65,2,scientific,O
66,2,advice,O
67,2,was,O
68,2,clearer,O
69,3,We,O
70,3,dont,O
71,3,support,O
72,3,any,O
73,3,such,O
74,3,recommendation,O
75,3,because,O
76,3,we,O
77,3,dont,O
78,3,see,O
79,3,any,O
80,3,grounds,O
81,3,for,O
82,3,it,O
83,3,the,O
84,3,Commissions,ORG
85,3,chief,O
86,3,spokesman,O
87,3,Nikolaus,PER
88,3,van,PER
89,3,der,PER
90,3,Pas,PER
91,3,told,O
92,3,a,O
93,3,news,O
94,3,briefing,O
95,4,He,O
96,4,said,O
97,4,further,O
98,4,scientific,O
99,4,study,O
100,4,was,O
101,4,required,O
102,4,and,O
103,4,if,O
104,4,it,O
105,4,was,O
106,4,found,O
107,4,that,O
108,4,action,O
109,4,was,O
110,4,needed,O
111,4,it,O
112,4,should,O
113,4,be,O
114,4,taken,O
115,4,by,O
116,4,the,O
117,4,European,ORG
118,4,Union,ORG
119,5,He,O
120,5,said,O
121,5,a,O
122,5,proposal,O
123,5,last,O
124,5,month,O
125,5,by,O
126,5,EU,ORG
127,5,Farm,O
128,5,Commissioner,O
129,5,Franz,PER
130,5,Fischler,PER
131,5,to,O
132,5,ban,O
133,5,sheep,O
134,5,brains,O
135,5,spleens,O
136,5,and,O
137,5,spinal,O
138,5,cords,O
139,5,from,O
140,5,the,O
141,5,human,O
142,5,and,O
143,5,animal,O
144,5,food,O
145,5,chains,O
146,5,was,O
147,5,a,O
148,5,highly,O
149,5,specific,O
150,5,and,O
151,5,precautionary,O
152,5,move,O
153,5,to,O
154,5,protect,O
155,5,human,O
156,5,health,O
157,6,Fischler,PER
158,6,proposed,O
159,6,EUwide,O
160,6,measures,O
161,6,after,O
162,6,reports,O
163,6,from,O
164,6,Britain,LOC
165,6,and,O
166,6,France,LOC
167,6,that,O
168,6,under,O
169,6,laboratory,O
170,6,conditions,O
171,6,sheep,O
172,6,could,O
173,6,contract,O
174,6,Bovine,O
175,6,Spongiform,O
176,6,Encephalopathy,O
177,6,BSE,O
178,6,mad,O
179,6,cow,O
180,6,disease,O
181,7,But,O
182,7,Fischler,PER
183,7,agreed,O
184,7,to,O
185,7,review,O
186,7,his,O
187,7,proposal,O
188,7,after,O
189,7,the,O
190,7,EUs,ORG
191,7,standing,O
192,7,veterinary,O
193,7,committee,O
194,7,mational,O
195,7,animal,O
196,7,health,O
197,7,officials,O
198,7,questioned,O
199,7,if,O
200,7,such,O
201,7,action,O
202,7,was,O
203,7,justified,O
204,7,as,O
205,7,there,O
206,7,was,O
207,7,only,O
208,7,a,O
209,7,slight,O
210,7,risk,O
211,7,to,O
212,7,human,O
213,7,health,O
214,8,Spanish,O
215,8,Farm,O
216,8,Minister,O
217,8,Loyola,PER
218,8,de,PER
219,8,Palacio,PER
220,8,had,O
221,8,earlier,O
222,8,accused,O
223,8,Fischler,PER
224,8,at,O
225,8,an,O
226,8,EU,ORG
227,8,farm,O
228,8,ministers,O
229,8,meeting,O
230,8,of,O
231,8,causing,O
232,8,unjustified,O
233,8,alarm,O
234,8,through,O
235,8,dangerous,O
236,8,generalisation,O
237,9,Only,O
238,9,France,LOC
239,9,and,O
240,9,Britain,LOC
241,9,backed,O
242,9,Fischlers,PER
243,9,proposal,O
244,10,The,O
245,10,EUs,ORG
246,10,scientific,O
247,10,veterinary,O
248,10,and,O
249,10,multidisciplinary,O
250,10,committees,O
251,10,are,O
252,10,due,O
253,10,to,O
254,10,reexamine,O
255,10,the,O
256,10,issue,O
257,10,early,O
258,10,next,O
259,10,month,O
260,10,and,O
261,10,make,O
262,10,recommendations,O
263,10,to,O
264,10,the,O
265,10,senior,O
266,10,veterinary,O
267,10,officials,O
268,11,Sheep,O
269,11,have,O
270,11,long,O
271,11,been,O
272,11,known,O
273,11,to,O
274,11,contract,O
275,11,scrapie,O
276,11,a,O
277,11,brainwasting,O
278,11,disease,O
279,11,similar,O
280,11,to,O
281,11,BSE,O
282,11,which,O
283,11,is,O
284,11,believed,O
285,11,to,O
286,11,have,O
287,11,been,O
288,11,transferred,O
289,11,to,O
290,11,cattle,O
291,11,through,O
292,11,feed,O
293,11,containing,O
294,11,animal,O
295,11,waste,O
296,12,British,O
297,12,farmers,O
298,12,denied,O
299,12,on,O
300,12,Thursday,O
301,12,there,O
302,12,was,O
303,12,any,O
304,12,danger,O
305,12,to,O
306,12,human,O
307,12,health,O
308,12,from,O
309,12,their,O
310,12,sheep,O
311,12,but,O
312,12,expressed,O
313,12,concern,O
314,12,that,O
315,12,German,O
316,12,government,O
317,12,advice,O
318,12,to,O
319,12,consumers,O
320,12,to,O
321,12,avoid,O
322,12,British,O
323,12,lamb,O
324,12,might,O
325,12,influence,O
326,12,consumers,O
327,12,across,O
328,12,Europe,LOC
329,13,What,O
330,13,we,O
331,13,have,O
332,13,to,O
333,13,be,O
334,13,extremely,O
335,13,careful,O
336,13,of,O
337,13,is,O
338,13,how,O
339,13,other,O
340,13,countries,O
341,13,are,O
342,13,going,O
343,13,to,O
344,13,take,O
345,13,Germanys,LOC
346,13,lead,O
347,13,Welsh,ORG
348,13,National,ORG
349,13,Farmers,ORG
350,13,Union,ORG
351,13,NFU,ORG
352,13,chairman,O
353,13,John,PER
354,13,Lloyd,PER
355,13,Jones,PER
356,13,said,O
357,13,on,O
358,13,BBC,ORG
359,13,radio,ORG
360,14,Bonn,LOC
361,14,has,O
362,14,led,O
363,14,efforts,O
364,14,to,O
365,14,protect,O
366,14,public,O
367,14,health,O
368,14,after,O
369,14,consumer,O
370,14,confidence,O
371,14,collapsed,O
372,14,in,O
373,14,March,O
374,14,after,O
375,14,a,O
376,14,British,O
377,14,report,O
378,14,suggested,O
379,14,humans,O
380,14,could,O
381,14,contract,O
382,14,an,O
383,14,illness,O
384,14,similar,O
385,14,to,O
386,14,mad,O
387,14,cow,O
388,14,disease,O
389,14,by,O
390,14,eating,O
391,14,contaminated,O
392,14,beef,O
393,15,Germany,LOC
394,15,imported,O
395,15,47600,O
396,15,sheep,O
397,15,from,O
398,15,Britain,LOC
399,15,last,O
400,15,year,O
401,15,nearly,O
402,15,half,O
403,15,of,O
404,15,total,O
405,15,imports,O
406,16,It,O
407,16,brought,O
408,16,in,O
409,16,4275,O
410,16,tonnes,O
411,16,of,O
412,16,British,O
413,16,mutton,O
414,16,some,O
415,16,10,O
