,Sentence #,Word,Tag
0,0,EU,ORG
1,0,rejects,O
2,0,German,O
3,0,call,O
4,0,to,O
5,0,boycott,O
6,0,British,O
7,0,lamb,O
8,1,Peter,PER
9,1,Blackburn,PER
10,1,BRUSSELS,LOC
11,1,19960822,O
12,1,The,O
13,1,European,ORG
14,1,Commission,ORG
15,1,said,O
16,1,on,O
17,1,Thursday,O
18,1,it,O
19,1,disagreed,O
20,1,with,O
21,1,German,O
22,1,advice,O
23,1,to,O
24,1,consumers,O
25,1,to,O
26,1,shun,O
27,1,British,O
28,1,lamb,O
29,1,until,O
30,1,scientists,O
31,1,determine,O
32,1,whether,O
33,1,mad,O
34,1,cow,O
35,1,disease,O
36,1,can,O
37,1,be,O
38,1,transmitted,O
39,1,to,O
40,1,sheep,O
41,2,Germanys,LOC
42,2,representative,O
43,2,to,O
44,2,the,O
45,2,European,ORG
46,2,Unions,ORG
47,2,veterinary,O
48,2,committee,O
49,2,Werner,PER
50,2,Zwingmann,PER
51,2,said,O
52,2,on,O
53,2,Wednesday,O
54,2,consumers,O
55,2,should,O
56,2,buy,O
57,2,sheepmeat,O
58,2,from,O
59,2,countries,O
60,2,other,O
61,2,than,O
62,2,Britain,LOC
63,2,until,O
64,2,the,O
65,2,scientific,O
66,2,advice,O
67,2,was,O
68,2,clearer,O
69,3,We,O
70,3,dont,O
71,3,support,O
72,3,any,O
73,3,such,O
74,3,recommendation,O
75,3,because,O
76,3,we,O
77,3,dont,O
78,3,see,O
79,3,any,O
80,3,grounds,O
81,3,for,O
82,3,it,O
83,3,the,O
84,3,Commissions,ORG
85,3,chief,O
86,3,spokesman,O
87,3,Nikolaus,PER
88,3,van,PER
89,3,der,PER
90,3,Pas,PER
91,3,told,O
92,3,a,O
93,3,news,O
94,3,briefing,O
95,4,He,O
96,4,said,O
97,4,further,O
98,4,scientific,O
99,4,study,O
100,4,was,O
101,4,required,O
102,4,and,O
103,4,if,O
104,4,it,O
105,4,was,O
106,4,found,O
107,4,that,O
108,4,action,O
109,4,was,O
110,4,needed,O
111,4,it,O
112,4,should,O
113,4,be,O
114,4,taken,O
115,4,by,O
116,4,the,O
117,4,Europaen,ORG
118,4,Unoin,ORG
119,5,He,O
120,5,said,O
121,5,a,O
122,5,proposal,O
123,5,last,O
124,5,month,O
125,5,by,O
126,5,EU,ORG
127,5,Farm,O
128,5,Commissioner,O
129,5,Frnaz,PER
130,5,Ficshler,PER
131,5,to,O
132,5,ban,O
133,5,sheep,O
134,5,brains,O
135,5,spleens,O
136,5,and,O
137,5,spinal,O
138,5,cords,O
139,5,from,O
140,5,the,O
141,5,human,O
142,5,and,O
143,5,animal,O
144,5,food,O
145,5,chains,O
146,5,was,O
147,5,a,O
148,5,highly,O
149,5,specific,O
150,5,and,O
151,5,precautionary,O
152,5,move,O
153,5,to,O
154,5,protect,O
155,5,human,O
156,5,health,O
157,6,Fischlre,PER
158,6,proposed,O
159,6,EUwide,O
160,6,measures,O
161,6,after,O
162,6,reports,O
163,6,from,O
164,6,Britian,LOC
165,6,and,O
166,6,Fracne,LOC
167,6,that,O
168,6,under,O
169,6,laboratory,O
170,6,conditions,O
171,6,sheep,O
172,6,could,O
173,6,contract,O
174,6,Bovine,O
175,6,Spongiform,O
176,6,Encephalopathy,O
177,6,BSE,O
178,6,mad,O
179,6,cow,O
180,6,disease,O
181,7,But,O
182,7,Fischlre,PER
183,7,agreed,O
184,7,to,O
185,7,review,O
186,7,his,O
187,7,proposal,O
188,7,after,O
189,7,the,O
190,7,EUs,ORG
191,7,standing,O
192,7,veterinary,O
193,7,committee,O
194,7,mational,O
195,7,animal,O
196,7,health,O
197,7,officials,O
198,7,questioned,O
199,7,if,O
200,7,such,O
201,7,action,O
202,7,was,O
203,7,justified,O
204,7,as,O
205,7,there,O
206,7,was,O
207,7,only,O
208,7,a,O
209,7,slight,O
210,7,risk,O
211,7,to,O
212,7,human,O
213,7,health,O
214,8,Spanish,O
215,8,Farm,O
216,8,Minister,O
217,8,Lyoola,PER
218,8,de,PER
219,8,Plaacio,PER
220,8,had,O
221,8,earlier,O
222,8,accused,O
223,8,Fischelr,PER
224,8,at,O
225,8,an,O
226,8,EU,ORG
227,8,farm,O
228,8,ministers,O
229,8,meeting,O
230,8,of,O
231,8,causing,O
232,8,unjustified,O
233,8,alarm,O
234,8,through,O
235,8,dangerous,O
236,8,generalisation,O
237,10,Only,O
238,10,Fracne,LOC
239,10,and,O
240,10,Briatin,LOC
241,10,backed,O
242,10,Fischelrs,PER
243,10,proposal,O
244,11,The,O
245,11,EUs,ORG
246,11,scientific,O
247,11,veterinary,O
248,11,and,O
249,11,multidisciplinary,O
250,11,committees,O
251,11,are,O
252,11,due,O
253,11,to,O
254,11,reexamine,O
255,11,the,O
256,11,issue,O
257,11,early,O
258,11,next,O
259,11,month,O
260,11,and,O
261,11,make,O
262,11,recommendations,O
263,11,to,O
264,11,the,O
265,11,senior,O
266,11,veterinary,O
267,11,officials,O
268,12,Sheep,O
269,12,have,O
270,12,long,O
271,12,been,O
272,12,known,O
273,12,to,O
274,12,contract,O
275,12,scrapie,O
276,12,a,O
277,12,brainwasting,O
278,12,disease,O
279,12,similar,O
280,12,to,O
281,12,BSE,O
282,12,which,O
283,12,is,O
284,12,believed,O
285,12,to,O
286,12,have,O
287,12,been,O
288,12,transferred,O
289,12,to,O
290,12,cattle,O
291,12,through,O
292,12,feed,O
293,12,containing,O
294,12,animal,O
295,12,waste,O
296,13,British,O
297,13,farmers,O
298,13,denied,O
299,13,on,O
300,13,Thursday,O
301,13,there,O
302,13,was,O
303,13,any,O
304,13,danger,O
305,13,to,O
306,13,human,O
307,13,health,O
308,13,from,O
309,13,their,O
310,13,sheep,O
311,13,but,O
312,13,expressed,O
313,13,concern,O
314,13,that,O
315,13,German,O
316,13,government,O
317,13,advice,O
318,13,to,O
319,13,consumers,O
320,13,to,O
321,13,avoid,O
322,13,British,O
323,13,lamb,O
324,13,might,O
325,13,influence,O
326,13,consumers,O
327,13,across,O
328,13,Euorpe,LOC
329,14,What,O
330,14,we,O
331,14,have,O
332,14,to,O
333,14,be,O
334,14,extremely,O
335,14,careful,O
336,14,of,O
337,14,is,O
338,14,how,O
339,14,other,O
340,14,countries,O
341,14,are,O
342,14,going,O
343,14,to,O
344,14,take,O
345,14,Germanys,LOC
346,14,lead,O
347,14,Welsh,ORG
348,14,National,ORG
349,14,Farmers,ORG
350,14,Union,ORG
351,14,NFU,ORG
352,14,chairman,O
353,14,John,PER
354,14,Lloyd,PER
355,14,Jones,PER
356,14,said,O
357,14,on,O
358,14,BBC,ORG
359,14,radio,ORG
360,15,Bonn,LOC
361,15,has,O
362,15,led,O
363,15,efforts,O
364,15,to,O
365,15,protect,O
366,15,public,O
367,15,health,O
368,15,after,O
369,15,consumer,O
370,15,confidence,O
371,15,collapsed,O
372,15,in,O
373,15,March,O
374,15,after,O
375,15,a,O
376,15,British,O
377,15,report,O
378,15,suggested,O
379,15,humans,O
380,15,could,O
381,15,contract,O
382,15,an,O
383,15,illness,O
384,15,similar,O
385,15,to,O
386,15,mad,O
387,15,cow,O
388,15,disease,O
389,15,by,O
390,15,eating,O
391,15,contaminated,O
392,15,beef,O
393,16,Germany,LOC
394,16,imported,O
395,16,47600,O
396,16,sheep,O
397,16,from,O
398,16,Britain,LOC
399,16,last,O
400,16,year,O
401,16,nearly,O
402,16,half,O
403,16,of,O
404,16,total,O
405,16,imports,O
406,17,It,O
407,17,brought,O
408,17,in,O
409,17,4275,O
410,17,tonnes,O
411,17,of,O
412,17,British,O
413,17,mutton,O
