,Sample #,ASR Output,Model Output,Lavenstein,Lavenstein Mean,Flag
0,0,['netherlands'],['netherlands'],[100.0],100.0,True
1,1,['mace'],['mace'],[100.0],100.0,True
2,3,"['strasburg', 'paris', 'lubec']","['strasburg', 'paris', 'lubec']","[100.0, 100.0, 100.0]",100.0,True
3,4,['italy'],['italy'],[100.0],100.0,True
4,5,"['italy', 'germany', 'france']","['italy', 'germany', 'france']","[100.0, 100.0, 100.0]",100.0,True
5,6,"['subiaco', 'rome']","['subiaco', 'rome']","[100.0, 100.0]",100.0,True
6,8,['strasburg'],['strasburg'],[100.0],100.0,True
7,9,['augsburg'],['augsburg'],[100.0],100.0,True
8,10,['france'],['france'],[100.0],100.0,True
9,12,['rome'],['rome'],[100.0],100.0,True
10,13,['venice'],['venice'],[100.0],100.0,True
11,16,['venice'],['venice'],[100.0],100.0,True
12,19,['italy'],['italy'],[100.0],100.0,True
13,22,"['rome', 'milan']","['rome', 'milan']","[100.0, 100.0]",100.0,True
14,24,['italy'],['italy'],[100.0],100.0,True
15,26,['augsburg'],['augsburg'],[100.0],100.0,True
16,28,['cologne'],['cologne'],[100.0],100.0,True
17,30,['england'],['england'],[100.0],100.0,True
18,32,"['germany', 'italy']","['germany', 'italy']","[100.0, 100.0]",100.0,True
19,33,"['england', 'london']","['england', 'london']","[100.0, 100.0]",100.0,True
20,39,['england'],['england'],[100.0],100.0,True
21,40,"['great', 'britain']","['great', 'britain']","[100.0, 100.0]",100.0,True
22,41,"['france', 'germany']","['france', 'germany']","[100.0, 100.0]",100.0,True
23,42,['italy'],['italy'],[100.0],100.0,True
24,43,['america'],['america'],[100.0],100.0,True
25,48,['america'],['america'],[100.0],100.0,True
26,51,"['new', 'gate']","['new', 'gate']","[100.0, 100.0]",100.0,True
27,54,['newgate'],['newgate'],[100.0],100.0,True
29,60,"['newgate', 'white', 'cross', 'street']","['newgate', 'white', 'cross', 'street']","[100.0, 100.0, 100.0, 100.0]",100.0,True
30,61,['newgate'],['newgate'],[100.0],100.0,True
31,62,"['england', 'scotland', 'wales']","['england', 'scotland', 'wales']","[100.0, 100.0, 100.0]",100.0,True
32,66,['middlesex'],['middlesex'],[100.0],100.0,True
33,68,"['middlesex', 'great', 'britain']","['middlesex', 'great', 'britain']","[100.0, 100.0, 100.0]",100.0,True
34,69,['middlesex'],['middlesex'],[100.0],100.0,True
35,71,['middlesex'],['middlesex'],[100.0],100.0,True
36,79,['newgate'],['newgate'],[100.0],100.0,True
37,80,['newgate'],['newgate'],[100.0],100.0,True
39,90,"['coldbath', 'fields']","['coldbath', 'fields']","[100.0, 100.0]",100.0,True
40,91,"['islington', 'london']","['islington', 'london']","[100.0, 100.0]",100.0,True
41,95,['newgate'],['newgate'],[100.0],100.0,True
42,96,"['london', 'new', 'gate']","['london', 'new', 'gate']","[100.0, 100.0, 100.0]",100.0,True
44,103,['mexico'],['mexico'],[100.0],100.0,True
45,104,"['farrington', 'street']","['farrington', 'street']","[100.0, 100.0]",100.0,True
49,115,['whitehall'],['whitehall'],[100.0],100.0,True
50,117,['marshalsea'],['marshalsea'],[100.0],100.0,True
51,118,['marshalsea'],['marshalsea'],[100.0],100.0,True
52,123,['coventry'],['coventry'],[100.0],100.0,True
53,124,['canterbury'],['canterbury'],[100.0],100.0,True
54,126,['marshalsea'],['marshalsea'],[100.0],100.0,True
56,128,['marshalsea'],['marshalsea'],[100.0],100.0,True
57,129,['newgate'],['newgate'],[100.0],100.0,True
58,130,"['white', 'cross']","['white', 'cross']","[100.0, 100.0]",100.0,True
59,131,"['ludgate', 'london']","['ludgate', 'london']","[100.0, 100.0]",100.0,True
60,135,"['giltspur', 'street']","['giltspur', 'street']","[100.0, 100.0]",100.0,True
62,140,['newgate'],['newgate'],[100.0],100.0,True
63,141,['newgate'],['newgate'],[100.0],100.0,True
64,144,['newgate'],['newgate'],[100.0],100.0,True
67,147,['london'],['london'],[100.0],100.0,True
68,150,"['red', 'lion', 'white', 'cross']","['red', 'lion', 'white', 'cross']","[100.0, 100.0, 100.0, 100.0]",100.0,True
69,151,"['newgate', 'ludgate']","['newgate', 'ludgate']","[100.0, 100.0]",100.0,True
71,153,['newgate'],['newgate'],[100.0],100.0,True
72,154,"['white', 'cross', 'street']","['white', 'cross', 'street']","[100.0, 100.0, 100.0]",100.0,True
73,159,"['new', 'gate']","['new', 'gate']","[100.0, 100.0]",100.0,True
74,162,['newgate'],['newgate'],[100.0],100.0,True
75,164,['clarkson'],['clarkson'],[100.0],100.0,True
76,165,['newgate'],['newgate'],[100.0],100.0,True
77,168,['newgate'],['newgate'],[100.0],100.0,True
78,169,['newgate'],['newgate'],[100.0],100.0,True
79,172,['newgate'],['newgate'],[100.0],100.0,True
80,175,['slego'],['slego'],[100.0],100.0,True
81,181,['nougat'],['nougat'],[100.0],100.0,True
83,183,"['old', 'bailey']","['old', 'bailey']","[100.0, 100.0]",100.0,True
84,184,['newgate'],['newgate'],[100.0],100.0,True
85,185,['london'],['london'],[100.0],100.0,True
86,186,['uk'],['uk'],[100.0],100.0,True
87,189,"['bridewell', 'millbank']","['bridewell', 'millbank']","[100.0, 100.0]",100.0,True
88,190,['nougat'],['nougat'],[100.0],100.0,True
89,193,"['new', 'gate', 'petworth', 'gloucester']","['new', 'gate', 'petworth', 'gloucester']","[100.0, 100.0, 100.0, 100.0]",100.0,True
91,196,"['gloucester', 'petworth']","['gloucester', 'petworth']","[100.0, 100.0]",100.0,True
92,197,"['white', 'cross', 'street']","['white', 'cross', 'street']","[100.0, 100.0, 100.0]",100.0,True
95,202,['millbank'],['millbank'],[100.0],100.0,True
96,205,['newgate'],['newgate'],[100.0],100.0,True
