Sentence #,Word,Tag
0,for,O
0,although,O
0,the,O
0,chinese,O
0,took,O
0,impressions,O
0,from,O
0,wood,O
0,blocks,O
0,",",O
0,engraved,O
0,in,O
0,relief,O
0,for,O
0,centuries,O
0,before,O
0,the,O
0,woodcutters,O
0,of,O
0,the,O
0,netherlands,LOC
0,by,O
0,a,O
0,similar,O
0,process,O
0,.,O
1,but,O
1,the,O
1,first,O
1,bible,O
1,",",O
1,actually,O
1,dated,O
1,which,O
1,also,O
1,was,O
1,printed,O
1,at,O
1,maintz,O
1,by,LOC
1,peter,O
1,schoeffer,PER
1,in,PER
1,the,O
1,year,O
1,1462,O
1,.,O
2,especially,O
2,as,O
2,regards,O
2,the,O
2,lower,O
2,case,O
2,letters,O
2,and,O
2,type,O
2,very,O
2,similar,O
2,was,O
2,used,O
2,during,O
2,the,O
2,next,O
2,fifteen,O
2,",",O
2,or,O
2,twenty,O
2,years,O
2,",",O
2,not,O
2,only,O
2,by,O
2,schoeffer,O
2,.,O
3,but,O
3,by,O
3,printers,O
3,in,O
3,strasburg,LOC
3,",",O
3,basle,O
3,",",O
3,paris,LOC
3,",",O
3,lubeck,O
3,and,LOC
3,other,O
3,cities,LOC
3,.,O
4,but,O
4,though,O
4,on,O
4,the,O
4,whole,O
4,except,O
4,in,O
4,italy,O
4,",",O
4,gothic,LOC
4,letter,O
4,was,O
4,most,O
4,often,O
4,used,O
4,.,O
5,a,O
5,very,O
5,few,O
5,years,O
5,saw,O
5,the,O
5,birth,O
5,of,O
5,roman,O
5,character,O
5,not,O
5,only,O
5,in,O
5,italy,LOC
5,but,O
5,in,O
5,germany,O
5,and,LOC
5,france,O
5,.,O
6,in,O
6,1465,O
6,",",O
6,sweynheim,PER
6,and,O
6,pannartz,PER
6,began,O
6,printing,O
6,in,O
6,the,O
6,monastery,O
6,of,O
6,subiaco,LOC
6,near,O
6,rome,LOC
6,.,O
7,they,O
7,printed,O
7,very,O
7,few,O
7,books,O
7,in,O
7,this,O
7,type,O
7,",",O
7,three,O
7,only,O
7,but,O
7,in,O
7,their,O
7,very,O
7,first,O
7,books,O
7,in,O
7,r,O
7,.,O
7,o,LOC
7,.,O
7,m,O
7,.,O
7,e,O
7,.,O
7,.,O
7,beginning,O
7,with,O
7,the,O
7,year,O
7,1468,O
7,.,O
8,but,O
8,about,O
8,the,O
8,same,O
8,year,O
8,mentelin,PER
8,at,O
8,strasburg,LOC
8,began,O
8,to,O
8,print,O
8,in,O
8,a,O
8,type,O
8,which,O
8,is,O
8,distinctly,O
8,roman,O
8,.,O
9,and,O
9,the,O
9,next,O
9,year,O
9,",",O
9,gunther,PER
9,zeiner,PER
9,at,O
9,augsburg,LOC
9,followed,O
9,suit,O
9,.,O
10,while,O
10,in,O
10,1470,O
10,at,O
10,paris,LOC
10,udalric,PER
10,gering,PER
10,and,O
10,his,O
10,associates,O
10,turned,O
10,out,O
10,the,O
10,first,O
10,books,O
10,printed,O
10,in,O
10,france,LOC
10,",",O
10,also,O
10,in,O
10,roman,O
10,character,O
10,.,O
11,it,O
11,must,O
11,be,O
11,said,O
11,that,O
11,it,O
11,is,O
11,in,O
11,no,O
11,way,O
11,like,O
11,the,O
11,transition,O
11,type,O
11,of,O
11,subiaco,ORG
11,.,O
12,and,O
12,though,O
12,more,O
12,roman,O
12,than,O
12,that,O
12,yet,O
12,scarcely,O
12,more,O
12,like,O
12,the,O
12,comple,O
12,',O
12,te,O
12,roman,O
12,roman,O
12,type,O
12,of,O
12,the,O
12,earliest,O
12,printers,O
12,of,O
12,rome,LOC
12,',O
13,a,O
13,further,O
13,development,O
13,of,O
13,the,O
13,roman,O
13,letter,O
13,took,O
13,place,O
13,at,O
13,venice,LOC
13,.,O
14,john,PER
14,of,O
14,spires,O
14,and,O
14,his,O
14,brother,O
14,vindelin,PER
14,",",O
14,followed,O
14,by,O
14,nicholas,O
14,jenson,PER
14,",",O
14,began,PER
14,to,O
14,print,O
14,in,O
14,that,O
14,city,O
14,.,O
15,o,O
15,?,O
15,f,PER
15,jenson,O
15,",",O
15,it,O
15,must,O
15,be,O
15,said,O
15,that,O
15,he,O
15,carried,O
15,the,O
15,development,O
15,of,O
15,roman,O
15,type,O
15,as,O
15,far,O
15,as,O
15,it,O
15,can,O
15,go,O
15,.,O
16,after,O
16,his,O
16,death,O
16,in,O
16,the,O
16,fourteen,O
16,eighties,O
16,or,O
16,at,O
16,least,O
16,by,O
16,1490,O
16,",",O
16,printing,O
16,in,O
16,venice,O
16,had,O
16,declined,O
16,very,O
16,much,LOC
16,.,O
17,and,O
17,though,O
17,the,O
17,famous,O
17,family,O
17,of,O
17,aldus,PER
17,restored,O
17,its,O
17,technical,O
17,excellence,O
17,rejecting,O
17,battered,O
17,letters,O
17,.,O
18,yet,O
18,their,O
18,type,O
18,is,O
18,artistically,O
18,on,O
18,a,O
18,much,O
18,lower,O
18,level,O
18,than,O
18,jenson,PER
18,and,O
18,in,O
18,fact,O
18,.,O
19,they,O
19,must,O
19,be,O
19,considered,O
19,to,O
19,have,O
19,ended,O
19,the,O
19,age,O
19,of,O
19,fine,O
19,printing,O
19,in,O
19,italy,LOC
19,.,O
20,jenson,PER
20,",",O
20,however,O
20,",",O
20,had,O
20,many,O
20,contemporaries,O
20,who,O
20,used,O
20,beautiful,O
20,type,O
20,.,O
21,some,O
21,of,O
21,which,O
21,as,O
21,e,O
21,g,O
21,that,O
21,of,O
21,jacobus,O
21,rubeus,O
21,or,O
21,jacques,O
21,le,O
21,rouge,O
21,is,PER
21,scarcely,PER
21,distinguishable,O
21,from,PER
21,his,PER
21,.,O
22,it,O
22,was,O
22,these,O
22,great,O
22,venetian,O
22,printers,O
22,together,O
22,with,O
22,their,O
22,brethren,O
22,of,O
22,rome,O
22,",",O
22,milan,LOC
22,.,O
23,parma,LOC
23,and,O
23,one,O
23,or,O
23,two,O
23,other,O
23,cities,O
23,who,O
23,produced,O
23,the,O
23,splendid,O
23,editions,O
23,of,O
23,the,O
23,classics,O
23,",",O
23,which,O
23,are,O
23,one,O
23,of,O
23,the,O
23,great,O
23,glories,O
23,of,O
23,the,O
23,printer,O
23,art,O
23,.,O
24,even,O
24,in,O
24,italy,LOC
24,",",O
24,most,O
24,of,O
24,the,O
24,theological,O
24,and,O
24,law,O
24,books,O
24,were,O
24,printed,O
24,in,O
24,gothic,O
24,letter,O
24,.,O
25,m,O
25,.,O
25,any,O
25,of,O
25,whose,O
25,types,O
25,indeed,O
25,like,O
25,that,O
25,of,O
25,the,O
25,subiaco,O
25,works,ORG
25,are,O
25,of,O
25,a,O
25,transitional,O
25,character,O
25,.,O
26,this,O
26,was,O
26,notably,O
26,the,O
26,case,O
26,with,O
26,the,O
26,early,O
26,works,O
26,printed,O
26,at,O
26,',O
26,ulm,LOC
26,',O
26,and,O
26,!,O
26,in,O
26,a,O
26,somewhat,O
26,lesser,O
26,degree,O
26,a,O
26,.,O
26,t,O
26,.,O
26,?,O
26,a,LOC
26,.,O
26,u,O
26,.,O
27,in,O
27,fact,O
27,",",O
27,gunther,PER
27,zeiner,PER
27,",",O
27,first,O
27,type,O
27,afterwards,O
27,used,O
27,by,O
27,schussler,O
27,",",O
27,is,O
27,remarkably,O
27,like,PER
27,the,O
27,type,O
27,of,O
27,the,O
27,before,O
27,mentioned,O
27,subiaco,O
27,books,O
27,.,O
28,in,O
28,the,O
28,low,O
28,countries,O
28,and,O
28,cologne,LOC
28,which,O
28,were,O
28,very,O
28,fertile,O
28,of,O
28,printed,O
28,books,O
28,",",O
28,gothic,O
28,was,O
28,the,O
28,favorite,O
28,.,O
29,the,O
29,characteristic,O
29,dutch,O
29,type,O
29,as,O
29,represented,O
29,by,O
29,the,O
29,excellent,O
29,printer,O
29,gerard,O
29,leew,PER
29,is,PER
29,very,O
29,pronounced,O
29,and,O
29,uncompromising,O
29,gothic,O
29,.,O
30,this,O
30,type,O
30,was,O
30,introduced,O
30,into,O
30,england,LOC
30,by,O
30,wynkyn,PER
30,de,PER
30,worde,PER
30,caxton,O
30,successor,PER
30,.,O
31,most,O
31,of,O
31,caxton,PER
31,own,O
31,types,O
31,are,O
31,of,O
31,an,O
31,earlier,O
31,character,O
31,",",O
31,though,O
31,they,O
31,also,O
31,much,O
31,resemble,O
31,flemish,O
31,or,O
31,cologne,O
31,letter,O
31,.,O
32,after,O
32,the,O
32,end,O
32,of,O
32,the,O
32,fifteenth,O
32,century,O
32,",",O
32,the,O
32,degradation,O
32,of,O
32,printing,O
32,especially,O
32,in,O
32,germany,O
32,and,LOC
32,.,O
32,i,O
32,.,O
32,t,LOC
32,.,O
32,a,O
32,.,O
33,in,O
33,england,LOC
33,",",O
33,about,O
33,this,O
33,time,O
33,",",O
33,an,O
33,attempt,O
33,was,O
33,made,O
33,notably,O
