;Sentence #;Word;Tag
29;2;for;O
30;2;although;O
31;2;the;O
32;2;Chinese;O
33;2;took;O
34;2;Impressions;O
35;2;from;O
36;2;wood;O
37;2;blocks;O
38;2;engraved;O
39;2;in;O
40;2;relief;O
41;2;for;O
42;2;centuries;O
43;2;before;O
44;2;the;O
45;2;woodcutters;O
46;2;of;O
47;2;the;O
48;2;Netherlands;LOC
49;2;by;O
50;2;a;O
51;2;similar;O
52;2;process;O
406;23;what;O
407;23;the;O
408;23;first;O
409;23;Bible;O
410;23;actually;O
411;23;dated;O
412;23;which;O
413;23;also;O
414;23;was;O
415;23;printed;O
416;23;at;O
417;23;mace;LOC
418;23;by;O
419;23;Peter;PER
420;23;Shaffer;PER
421;23;in;O
422;23;the;O
423;23;year;O
424;23;1462;O
455;26;especially;O
456;26;as;O
457;26;regards;O
458;26;to;O
459;26;lowercase;O
460;26;letters;O
461;26;and;O
462;26;type;O
463;26;very;O
464;26;similar;O
465;26;was;O
466;26;used;O
467;26;during;O
468;26;the;O
469;26;next;O
470;26;15;O
471;26;or;O
472;26;20;O
473;26;years;O
474;26;not;O
475;26;only;O
476;26;by;O
477;26;chauffeur;PER
478;27;Buy;O
479;27;printers;O
480;27;in;O
481;27;Strasburg;LOC
482;27;basil;O
483;27;Paris;LOC
484;27;Lubec;LOC
485;27;and;O
486;27;other;O
487;27;cities;O
488;28;but;O
489;28;don;O
490;28;';O
491;28;t;O
492;28;expect;O
493;28;in;O
494;28;Italy;LOC
495;28;letter;O
496;28;with;O
497;28;most;O
498;28;often;O
499;28;used;O
500;29;a;O
501;29;very;O
502;29;few;O
503;29;years;O
504;29;saw;O
505;29;the;O
506;29;birth;O
507;29;of;O
508;29;Roman;O
509;29;character;O
510;29;not;O
511;29;only;O
512;29;in;O
513;29;Italy;LOC
514;29;but;O
515;29;in;O
516;29;Germany;LOC
517;29;and;O
518;29;France;LOC
519;30;1465;O
520;30;Swain;PER
521;30;Haim;PER
522;30;and;O
523;30;pennartz;PER
524;30;began;O
525;30;printing;O
526;30;in;O
527;30;the;O
528;30;monastery;O
529;30;of;O
530;30;subiaco;LOC
531;30;near;O
532;30;Rome;LOC
569;33;printed;O
570;33;very;O
571;33;few;O
572;33;books;O
573;33;in;O
574;33;this;O
575;33;type;O
576;33;3;O
577;33;only;O
578;33;but;O
579;33;in;O
580;33;their;O
581;33;very;O
582;33;first;O
583;33;book;O
584;33;syndrome;O
585;33;beginning;O
586;33;with;O
587;33;the;O
588;33;year;O
589;33;1468;O
603;35;about;O
604;35;the;O
605;35;same;O
606;35;year;O
607;35;mental;O
608;35;in;O
609;35;at;O
610;35;Strasburg;LOC
611;35;began;O
612;35;to;O
613;35;print;O
614;35;in;O
615;35;a;O
616;35;type;O
617;35;which;O
618;35;is;O
619;35;distinctly;O
620;35;Roman;O
621;36;and;O
622;36;the;O
623;36;next;O
624;36;year;O
625;36;Gunther;PER
626;36;';O
627;36;s;O
628;36;designer;O
629;36;at;O
630;36;Augsburg;LOC
631;36;followed;O
632;36;suit;O
633;37;1470;O
634;37;at;O
635;37;Paris;LOC
636;37;Associates;O
637;37;turned;O
638;37;out;O
639;37;the;O
640;37;first;O
641;37;books;O
642;37;printed;O
643;37;in;O
644;37;France;LOC
645;37;also;O
646;37;in;O
647;37;Roman;O
648;37;character;O
680;40;it;O
681;40;must;O
682;40;be;O
683;40;said;O
684;40;that;O
685;40;it;O
686;40;is;O
687;40;in;O
688;40;no;O
689;40;way;O
690;40;like;O
691;40;the;O
692;40;transition;O
693;40;type;O
694;40;of;O
695;40;subiaco;LOC
696;41;and;O
697;41;though;O
698;41;more;O
699;41;Roman;O
701;41;than;O
702;41;that;O
703;41;yet;O
704;41;scarcely;O
705;41;more;O
706;41;like;O
707;41;the;O
708;41;complete;O
709;41;Roman;O
711;41;type;O
712;41;of;O
713;41;the;O
714;41;earliest;O
715;41;printers;O
716;41;of;O
717;41;Rome;LOC
718;42;the;O
719;42;further;O
720;42;development;O
721;42;of;O
722;42;the;O
723;42;Roman;O
724;42;letter;O
725;42;took;O
726;42;place;O
727;42;at;O
728;42;Venice;LOC
729;43;John;PER
730;43;of;O
731;43;spiders;O
732;43;and;O
733;43;his;O
734;43;brother;O
735;43;vendelin;PER
736;43;began;O
737;43;to;O
738;43;print;O
758;46;Bob;PER
759;46;Jensen;PER
760;46;it;O
761;46;must;O
762;46;be;O
763;46;said;O
764;46;that;O
765;46;he;O
766;46;carried;O
767;46;the;O
768;46;development;O
769;46;of;O
770;46;Roman;O
771;46;type;O
772;46;as;O
773;46;far;O
774;46;as;O
775;46;it;O
776;46;can;O
777;46;go;O
795;48;after;O
796;48;his;O
797;48;death;O
798;48;in;O
799;48;the;O
800;48;1480s;O
801;48;OR;O
802;48;at;O
803;48;least;O
804;48;by;O
805;48;1490;O
806;48;printing;O
807;48;in;O
808;48;Venice;LOC
809;48;had;O
810;48;declined;O
811;48;very;O
812;48;much;O
813;49;and;O
814;49;though;O
815;49;the;O
816;49;famous;O
817;49;family;O
818;49;of;O
819;49;Aldis;PER
820;49;restored;O
821;49;its;O
822;49;technical;O
823;49;Excellence;O
824;49;rejecting;O
825;49;battered;O
826;49;letters;O
840;51;yet;O
841;51;their;O
842;51;type;O
843;51;is;O
844;51;artistically;O
845;51;on;O
846;51;a;O
847;51;much;O
848;51;lower;O
849;51;level;O
850;51;than;O
851;51;Jensen;PER
852;51;';O
853;51;s;O
854;51;and;O
855;51;in;O
856;51;fact;O
857;52;they;O
858;52;must;O
859;52;be;O
860;52;considered;O
861;52;to;O
862;52;have;O
863;52;ended;O
864;52;the;O
865;52;age;O
866;52;of;O
867;52;fine;O
868;52;printing;O
869;52;in;O
870;52;Italy;LOC
871;53;Jensen;PER
872;53;however;O
873;53;had;O
874;53;many;O
875;53;contemporaries;O
876;53;who;O
877;53;use;O
878;53;beautiful;O
879;53;type;O
880;54;some;O
881;54;of;O
882;54;which;O
883;54;as;O
884;54;EG;O
885;54;that;O
886;54;of;O
887;54;Jacobus;PER
888;54;Rubeus;PER
889;54;or;O
890;54;Jacques;PER
891;54;Lu;PER
892;54;is;O
893;54;scarcely;O
894;54;distinguishable;O
895;54;from;O
896;54;his;O
897;55;it;O
898;55;was;O
899;55;these;O
900;55;great;O
901;55;Venetian;O
902;55;printers;O
903;55;together;O
904;55;with;O
905;55;their;O
906;55;Brethren;O
907;55;of;O
908;55;Rome;LOC
909;55;Milan;LOC
910;56;and;O
911;56;one;O
912;56;or;O
913;56;two;O
914;56;other;O
915;56;cities;O
916;56;who;O
917;56;produced;O
918;56;The;O
919;56;Splendid;O
920;56;editions;O
921;56;of;O
922;56;the;O
923;56;classics;O
924;56;which;O
925;56;are;O
926;56;one;O
927;56;of;O
928;56;the;O
929;56;great;O
930;56;glories;O
931;56;of;O
932;56;the;O
933;56;printers;O
934;56;are;O
1009;61;even;O
1010;61;in;O
1011;61;Italy;LOC
1012;61;most;O
1013;61;of;O
1014;61;the;O
1015;61;field;O
1016;61;logical;O
1017;61;and;O
1018;61;law;O
1019;61;books;O
1020;61;were;O
1021;61;printed;O
1022;61;in;O
1023;61;Gothic;O
1024;61;letter;O
1038;63;many;O
1039;63;of;O
1040;63;whose;O
1041;63;types;O
1042;63;indeed;O
1043;63;like;O
1044;63;that;O
1045;63;of;O
1046;63;the;O
1047;63;subiaco;LOC
1048;63;works;O
1049;63;are;O
1050;63;of;O
1051;63;a;O
1052;63;transitional;O
1053;63;character;O
1054;64;this;O
1055;64;was;O
1056;64;notably;O
1057;64;the;O
1058;64;case;O
1059;64;with;O
1060;64;the;O
1061;64;early;O
1062;64;Works;O
1063;64;printed;O
1064;64;at;O
1065;64;home;O
1066;64;and;O
1067;64;in;O
1068;64;a;O
1069;64;somewhat;O
1070;64;lesser;O
1071;64;degree;O
1072;64;at;O
1073;64;Augsburg;LOC
1074;65;in;O
1075;65;fact;O
1076;65;Gunther;PER
1077;65;';O
1078;65;s;O
1079;65;designers;O
1080;65;first;O
1081;65;type;O
1082;65;afterwards;O
1083;65;used;O
1084;65;by;O
1085;65;schussler;PER
1086;65;is;O
1087;65;remarkably;O
1088;65;like;O
1089;65;the;O
1090;65;type;O
1091;65;of;O
1092;65;the;O
1093;65;before;O
1094;65;mentioned;O
1095;65;subiaco;LOC
1096;65;books;O
1097;66;in;O
1098;66;the;O
1099;66;low;O
1100;66;countries;O
1101;66;and;O
1102;66;cologne;LOC
1103;66;which;O
1104;66;were;O
1105;66;very;O
1106;66;fertile;O
1107;66;of;O
1108;66;printed;O
1109;66;books;O
1110;66;Gothic;O
1111;66;was;O
1112;66;the;O
1113;66;favorite;O
1114;67;the;O
1115;67;characteristic;O
1116;67;Dutch;O
1117;67;type;O
1118;67;as;O
1119;67;represented;O
1120;67;by;O
1121;67;the;O
1122;67;excellent;O
1123;67;printer;O
1124;67;Lou;PER
1125;67;is;O
1126;67;very;O
1127;67;pronounced;O
1128;67;and;O
1129;67;uncompromising;O
1130;68;this;O
1131;68;type;O
1132;68;was;O
1133;68;introduced;O
1134;68;into;O
1135;68;England;LOC
1136;68;by;O
1137;68;winkin;PER
1138;68;to;O
1139;68;word;O
1140;68;Paxton;PER
1141;68;';O
1142;68;s;O
1143;68;successor;O
1163;70;most;O
1164;70;of;O
1165;70;caxton;PER
1166;70;Zone;O
1167;70;types;O
1168;70;of;O
1169;70;an;O
1170;70;earlier;O
1171;70;character;O
1172;71;after;O
1173;71;the;O
1174;71;end;O
1175;71;of;O
1176;71;the;O
1177;71;fifteenth;O
1178;71;Century;O
1179;71;the;O
1180;71;depredations;O
1181;71;of;O
1182;71;printing;O
1183;71;especially;O
1184;71;in;O
1185;71;Germany;LOC
1186;71;and;O
1187;71;Italy;LOC
1266;76;England;LOC
1267;76;about;O
1268;76;this;O
1269;76;time;O
1270;76;an;O
1271;76;attempt;O
1272;76;was;O
1273;76;made;O
1274;76;notably;O
1275;76;by;O
1276;76;Castle;PER
1277;76;on;O
1278;76;who;O
1279;76;started;O
1280;76;business;O
1281;76;in;O
1282;76;London;LOC
1283;76;as;O
1284;76;a;O
1285;76;type;O
1286;76;founder;O
1287;76;in;O
1288;76;1720;O
1294;78;Ashland;LOC
1295;78;';O
1296;78;s;O
1297;78;type;O
1298;78;is;O
1299;78;clear;O
1300;78;and;O
1301;78;neat;O
1302;78;and;O
1303;78;fairly;O
1304;78;well;O
1305;78;design;O
1412;86;where;O
1413;86;the;O
1414;86;17th;O
1415;86;century;O
1416;86;letters;O
1417;86;are;O
1418;86;at;O
1419;86;least;O
1420;86;pure;O
1421;86;and;O
1422;86;simple;O
1423;86;inline;O
1424;86;the;O
1425;86;Italian;O
1426;86;and;O
1427;86;the;O
1428;86;Frenchman;O
1429;86;Dido;PER
1430;87;are;O
1431;87;the;O
1432;87;leaders;O
1433;87;in;O
1434;87;this;O
1435;87;luckless;O
1436;87;change;O
1437;87;though;O
1438;87;our;O
1439;87;own;O
1440;87;Baskerville;O
1441;87;who;O
1442;87;was;O
1443;87;at;O
1444;87;work;O
1445;87;some;O
1446;87;years;O
1447;87;before;O
1448;87;them;O
1449;87;went;O
1450;87;much;O
1451;87;on;O
1452;87;the;O
1453;87;same;O
1454;87;lines;O
1505;91;Chiswick;LOC
1506;91;press;O
1507;91;in;O
1508;91;1844;O
1509;91;revived;O
1510;91;Castle;O
1511;91;on;O
1512;91;stops;O
1513;91;printing;O
1514;91;for;O
1515;91;measures;O
1516;91;the;O
1517;91;Diary;O
1518;91;of;O
1519;91;Lady;O
1520;91;Willoughby;PER
1521;92;this;O
1522;92;experiment;O
1523;92;was;O
1524;92;so;O
1525;92;far;O
1526;92;successful;O
1527;92;that;O
1528;92;about;O
1529;92;1850;O
1530;92;measures;O
1531;92;Miller;PER
1532;92;and;O
1533;92;Richard;PER
1534;92;Attenborough;PER
1554;95;now;O
1555;95;come;O
1556;95;into;O
1557;95;General;O
1558;95;use;O
1559;95;that;O
1560;95;are;O
1561;95;obviously;O
1562;95;a;O
1563;95;great;O
1564;95;Improvement;O
1565;95;on;O
1566;95;the;O
1567;95;ordinary;O
1568;95;modern;O
1569;95;style;O
1570;95;and;O
