Sentence #;Word;Tag
2;for;O
2;although;O
2;the;O
2;Chinese;O
2;took;O
2;Impressions;O
2;from;O
2;wood;O
2;blocks;O
2;engraved;O
2;in;O
2;relief;O
2;for;O
2;centuries;O
2;before;O
2;the;O
2;woodcutters;O
2;of;O
2;the;O
2;Netherlands;LOC
2;by;O
2;a;O
2;similar;O
2;process;O
23;what;O
23;the;O
23;first;O
23;Bible;O
23;actually;O
23;dated;O
23;which;O
23;also;O
23;was;O
23;printed;O
23;at;O
23;mace;LOC
23;by;O
23;Peter;PER
23;Shaffer;PER
23;in;O
23;the;O
23;year;O
23;1462;O
26;especially;O
26;as;O
26;regards;O
26;to;O
26;lowercase;O
26;letters;O
26;and;O
26;type;O
26;very;O
26;similar;O
26;was;O
26;used;O
26;during;O
26;the;O
26;next;O
26;15;O
26;or;O
26;20;O
26;years;O
26;not;O
26;only;O
26;by;O
26;chauffeur;PER
27;Buy;O
27;printers;O
27;in;O
27;Strasburg;LOC
27;basil;O
27;Paris;LOC
27;Lubec;LOC
27;and;O
27;other;O
27;cities;O
28;but;O
28;don;O
28;';O
28;t;O
28;expect;O
28;in;O
28;Italy;LOC
28;letter;O
28;with;O
28;most;O
28;often;O
28;used;O
29;a;O
29;very;O
29;few;O
29;years;O
29;saw;O
29;the;O
29;birth;O
29;of;O
29;Roman;O
29;character;O
29;not;O
29;only;O
29;in;O
29;Italy;LOC
29;but;O
29;in;O
29;Germany;LOC
29;and;O
29;France;LOC
30;1465;O
30;Swain;PER
30;Haim;PER
30;and;O
30;pennartz;PER
30;began;O
30;printing;O
30;in;O
30;the;O
30;monastery;O
30;of;O
30;subiaco;LOC
30;near;O
30;Rome;LOC
33;printed;O
33;very;O
33;few;O
33;books;O
33;in;O
33;this;O
33;type;O
33;3;O
33;only;O
33;but;O
33;in;O
33;their;O
33;very;O
33;first;O
33;book;O
33;syndrome;O
33;beginning;O
33;with;O
33;the;O
33;year;O
33;1468;O
35;about;O
35;the;O
35;same;O
35;year;O
35;mental;O
35;in;O
35;at;O
35;Strasburg;LOC
35;began;O
35;to;O
35;print;O
35;in;O
35;a;O
35;type;O
35;which;O
35;is;O
35;distinctly;O
35;Roman;O
36;and;O
36;the;O
36;next;O
36;year;O
36;Gunther;PER
36;';O
36;s;O
36;designer;O
36;at;O
36;Augsburg;LOC
36;followed;O
36;suit;O
37;1470;O
37;at;O
37;Paris;LOC
37;Associates;O
37;turned;O
37;out;O
37;the;O
37;first;O
37;books;O
37;printed;O
37;in;O
37;France;LOC
37;also;O
37;in;O
37;Roman;O
37;character;O
40;it;O
40;must;O
40;be;O
40;said;O
40;that;O
