Sentence #;Word;Tag
2;For;O
2;although;O
2;the;O
2;Chinese;O
2;took;O
2;impressions;O
2;from;O
2;wood;O
2;blocks;O
2;engraved;O
2;in;O
2;relief;O
2;for;O
2;centuries;O
2;before;O
2;the;O
2;woodcutters;O
2;of;O
2;the;O
2;Netherlands;LOC
2;,;O
2;by;O
2;a;O
2;similar;O
2;process;O
23;But;O
23;the;O
23;first;O
23;Bible;O
23;actually;O
23;dated;O
23;(;O
23;which;O
23;also;O
23;was;O
23;printed;O
23;at;O
23;Maintz;LOC
23;by;O
23;Peter;PER
23;Schoeffer;PER
23;in;O
23;the;O
23;year;O
23;1462;O
23;);O
26;especially;O
26;as;O
26;regards;O
26;the;O
26;lower;O
26;-;O
26;case;O
26;letters;O
26;and;O
26;type;O
26;very;O
26;similar;O
26;was;O
26;used;O
26;during;O
26;the;O
26;next;O
26;fifteen;O
26;or;O
26;twenty;O
26;years;O
26;not;O
26;only;O
26;by;O
26;Schoeffer;PER
26;,;O
27;but;O
27;by;O
27;printers;O
27;in;O
27;Strasburg;LOC
27;,;O
27;Basle;LOC
27;,;O
27;Paris;LOC
27;,;O
27;Lubeck;LOC
27;,;O
27;and;O
27;other;O
27;cities;O
27;.;O
28;But;O
28;though;O
28;on;O
28;the;O
28;whole;O
28;,;O
28;except;O
28;in;O
28;Italy;LOC
28;,;O
28;Gothic;O
28;letter;O
28;was;O
28;most;O
28;often;O
28;used;O
29;a;O
29;very;O
29;few;O
29;years;O
29;saw;O
29;the;O
29;birth;O
29;of;O
29;Roman;O
29;character;O
29;not;O
29;only;O
29;in;O
29;Italy;LOC
29;,;O
29;but;O
29;in;O
29;Germany;LOC
29;and;O
29;France;LOC
29;.;O
30;In;O
30;1465;O
30;Sweynheim;PER
30;and;O
30;Pannartz;PER
30;began;O
30;printing;O
30;in;O
30;the;O
30;monastery;O
30;of;O
30;Subiaco;LOC
30;near;O
30;Rome;LOC
30;,;O
33;They;O
33;printed;O
33;very;O
33;few;O
33;books;O
33;in;O
33;this;O
33;type;O
33;,;O
33;three;O
33;only;O
33;but;O
33;in;O
33;their;O
33;very;O
33;first;O
33;books;O
33;in;O
33;Rome;LOC
33;,;O
33;beginning;O
33;with;O
33;the;O
33;year;O
33;1468;O
33;,;O
35;But;O
35;about;O
35;the;O
35;same;O
35;year;O
35;Mentelin;PER
35;at;O
35;Strasburg;LOC
35;began;O
35;to;O
35;print;O
35;in;O
35;a;O
35;type;O
35;which;O
35;is;O
35;distinctly;O
35;Roman;O
36;and;O
36;the;O
36;next;O
36;year;O
36;Gunther;PER
36;Zeiner;PER
36;at;O
36;Augsburg;LOC
