,Sentence #,Word,Tag
993,212.0,this,O
994,212.0,number,O
995,212.0,did,O
996,212.0,not,O
997,212.0,include,O
998,212.0,the,O
999,212.0,debtors,O
1000,212.0,a,O
1001,212.0,numerous,O
1002,212.0,class,O
1003,212.0,who,O
1004,212.0,were,O
1005,212.0,still,O
1006,212.0,committed,O
1007,212.0,to,O
1008,212.0,Newgate,LOC
1009,212.0,pending,O
1010,212.0,the,O
1011,212.0,completion,O
1012,212.0,of,O
1013,212.0,the,O
1014,212.0,white,LOC
1015,212.0,cross,LOC
1016,212.0,street,LOC
1017,212.0,prison,O
2536,559.0,a,O
2537,559.0,site,O
2538,559.0,was,O
2539,559.0,purchased,O
2540,559.0,between,O
2541,559.0,Red,LOC
2542,559.0,Lion,LOC
2543,559.0,and,O
2544,559.0,white,LOC
2545,559.0,cross,LOC
2546,559.0,street,LOC
2547,559.0,and,O
2548,559.0,a,O
2549,559.0,new,O
2550,559.0,prison,O
2551,559.0,plan,O
5665,1409.0,in,O
5666,1409.0,some,O
5667,1409.0,large,O
5668,1409.0,towns,O
5669,1409.0,as,O
5670,1409.0,at,O
5671,1409.0,Berwick,LOC
5672,1409.0,on,O
5673,1409.0,Tweed,O
5674,1409.0,Southampton,LOC
5675,1409.0,and,O
5676,1409.0,South,LOC
5677,1409.0,work,LOC
5678,1409.0,they,O
5679,1409.0,the,O
5680,1409.0,prisons,O
5681,1409.0,are,O
5682,1409.0,in,O
5683,1409.0,a,O
5684,1409.0,very,O
5685,1409.0,discreditable,O
5686,1409.0,condition,O
9365,2342.0,the,O
9366,2342.0,last,O
9367,2342.0,of,LOC
9368,2342.0,the,O
9369,2342.0,four,O
9370,2342.0,is,O
9371,2342.0,said,O
9372,2342.0,to,O
9373,2342.0,have,O
9374,2342.0,been,O
9375,2342.0,a,O
9376,2342.0,clergyman,O
9377,2342.0,of,LOC
9378,2342.0,the,O
9379,2342.0,Church,LOC
9380,2342.0,of,LOC
9381,2342.0,England,LOC
9382,2342.0,condemned,O
9383,2342.0,for,O
9384,2342.0,forgery,O
9385,2342.0,a,O
9386,2342.0,miserable,O
9387,2342.0,old,O
9388,2342.0,man,O
9389,2342.0,in,O
9390,2342.0,a,O
9391,2342.0,tattered,O
9392,2342.0,suit,O
9393,2342.0,of,LOC
9394,2342.0,black,O
9414,2363.0,the,O
9415,2363.0,ordinary,O
9416,2363.0,of,LOC
9417,2363.0,Newgate,LOC
9418,2363.0,is,O
9419,2363.0,an,O
9420,2363.0,orthodox,O
9421,2363.0,unaffected,O
9422,2363.0,Church,LOC
9423,2363.0,of,LOC
9424,2363.0,England,LOC
9425,2363.0,divine,O
11305,2681.0,heads,O
11306,2681.0,of,O
11307,2681.0,Lord,LOC
11308,2681.0,Lord,LOC
11309,2681.0,castlereagh,LOC
11310,2681.0,and,O
11311,2681.0,Lord,LOC
11312,2681.0,Lord,LOC
11313,2681.0,Sydney,LOC
11314,2681.0,being,O
11315,2681.0,carried,O
11316,2681.0,away,O
11317,2681.0,in,O
11318,2681.0,a,O
11319,2681.0,bag,O
13987,3008.0,Munson,PER
13988,3008.0,try,O
13989,3008.0,to,O
13990,3008.0,fly,O
13991,3008.0,to,O
13992,3008.0,Country,LOC
13993,3008.0,on,O
13994,3008.0,the,O
13995,3008.0,detection,O
13996,3008.0,of,O
13997,3008.0,the,O
13998,3008.0,fraud,O
13999,3008.0,but,O
14000,3008.0,was,O
14001,3008.0,arrested,O
14002,3008.0,at,O
14003,3008.0,Plymouth,LOC
14004,3008.0,just,O
14005,3008.0,as,O
14006,3008.0,he,O
14007,3008.0,was,O
14008,3008.0,on,O
14009,3008.0,the,O
14010,3008.0,point,O
14011,3008.0,of,O
14012,3008.0,leaving,O
14013,3008.0,England,LOC
14014,3008.0,in,O
14015,3008.0,the,O
14016,3008.0,New,LOC
14017,3008.0,York,LOC
14018,3008.0,packet,O
16192,3178.0,sister,O
16193,3178.0,Jean,PER
16194,3178.0,went,O
16195,3178.0,in,O
16196,3178.0,the,O
16197,3178.0,coach,O
16198,3178.0,sent,O
16199,3178.0,for,O
16200,3178.0,him,O
16201,3178.0,and,O
16202,3178.0,Elijah,PER
16203,3178.0,.,O
16204,3178.0,27,O
16205,3178.0,York,LOC
16206,3178.0,Street,LOC
16207,3178.0,West,LOC
16208,3178.0,Commercial,LOC
16209,3178.0,Road,LOC
16885,3250.0,he,O
16886,3250.0,was,O
16887,3250.0,about,O
16888,3250.0,to,O
16889,3250.0,emigrate,O
16890,3250.0,to,O
16891,3250.0,New,LOC
16892,3250.0,South,LOC
16893,3250.0,Wales,LOC
16894,3250.0,when,O
16895,3250.0,he,O
16896,3250.0,was,O
16897,3250.0,arrested,O
16898,3250.0,at,O
16899,3250.0,Islington,LOC
16900,3250.0,and,O
16901,3250.0,committed,O
16902,3250.0,to,O
16903,3250.0,Newgate,LOC
16904,3250.0,on,O
16905,3250.0,a,O
16906,3250.0,charge,O
16907,3250.0,of,O
16908,3250.0,receiving,O
16909,3250.0,stolen,O
16910,3250.0,goods,O
18552,3404.0,they,O
18553,3404.0,presented,O
18554,3404.0,themselves,O
18555,3404.0,about,O
18556,3404.0,noon,O
18557,3404.0,one,O
18558,3404.0,day,O
18559,3404.0,at,O
18560,3404.0,the,O
18561,3404.0,dissecting,O
18562,3404.0,room,O
