,Sentence #,Word,Tag
1184,212,and,O
1185,212,this,O
1186,212,number,O
1187,212,did,O
1188,212,not,O
1189,212,include,O
1190,212,the,O
1191,212,debtors,O
1192,212,",",O
1193,212,a,O
1194,212,numerous,O
1195,212,class,O
1196,212,",",O
1197,212,who,O
1198,212,were,O
1199,212,still,O
1200,212,committed,O
1201,212,to,O
1202,212,Newgate,LOC
1203,212,pending,O
1204,212,the,O
1205,212,completion,O
1206,212,of,O
1207,212,the,O
1208,212,White,LOC
1209,212,Cross,LOC
1210,212,Street,LOC
1211,212,prison,O
1212,212,.,O
2997,559,A,O
2998,559,site,O
2999,559,was,O
3000,559,purchased,O
3001,559,between,O
3002,559,Red,LOC
3003,559,Lion,LOC
3004,559,and,O
3005,559,White,LOC
3006,559,Cross,LOC
3007,559,streets,O
3008,559,",",O
3009,559,and,O
3010,559,a,O
3011,559,new,O
3012,559,prison,O
3013,559,planned,O
3014,559,",",O
6615,1409,In,O
6616,1409,some,O
6617,1409,large,O
6618,1409,towns,O
6619,1409,",",O
6620,1409,as,O
6621,1409,at,O
6622,1409,Berwick,LOC
6623,1409,on,O
6624,1409,Tweed,O
6625,1409,",",O
6626,1409,Southampton,LOC
6627,1409,",",O
6628,1409,and,O
6629,1409,Southwark,LOC
6630,1409,",",O
6631,1409,they,O
6632,1409,(,O
6633,1409,the,O
6634,1409,prisons,O
6635,1409,),O
6636,1409,are,O
6637,1409,in,O
6638,1409,a,O
6639,1409,very,O
6640,1409,discreditable,O
6641,1409,condition,O
6642,1409,.,O
10971,2342,The,O
10972,2342,last,O
10973,2342,of,LOC
10974,2342,the,O
10975,2342,four,O
10976,2342,is,O
10977,2342,said,O
10978,2342,to,O
10979,2342,have,O
10980,2342,been,O
10981,2342,a,O
10982,2342,clergyman,O
10983,2342,of,LOC
10984,2342,the,O
10985,2342,Church,LOC
10986,2342,of,LOC
10987,2342,England,LOC
10988,2342,",",O
10989,2342,condemned,O
10990,2342,for,O
10991,2342,forgery,O
10992,2342,",",O
10993,2342,"""",O
10994,2342,a,O
10995,2342,miserable,O
10996,2342,old,O
10997,2342,man,O
10998,2342,in,O
10999,2342,a,O
11000,2342,tattered,O
11001,2342,suit,O
11002,2342,of,LOC
11003,2342,black,O
11004,2342,.,O
11030,2363,The,O
11031,2363,ordinary,O
11032,2363,of,LOC
11033,2363,Newgate,LOC
11034,2363,is,O
11035,2363,an,O
11036,2363,orthodox,O
11037,2363,",",O
11038,2363,unaffected,O
11039,2363,",",O
11040,2363,Church,LOC
11041,2363,of,LOC
11042,2363,England,LOC
11043,2363,divine,O
11044,2363,",",O
13221,2681,the,O
13222,2681,heads,O
13223,2681,of,O
13224,2681,Lord,LOC
13225,2681,Castlereagh,LOC
13226,2681,and,O
13227,2681,Lord,LOC
13228,2681,Sidmouth,PER
13229,2681,being,O
13230,2681,carried,O
13231,2681,away,O
13232,2681,in,O
13233,2681,a,O
13234,2681,bag,O
13235,2681,.,O
16384,3008,Hunton,PER
16385,3008,tried,O
16386,3008,to,O
16387,3008,fly,O
16388,3008,the,O
16389,3008,country,O
16390,3008,on,O
16391,3008,the,O
16392,3008,detection,O
16393,3008,of,O
16394,3008,the,O
16395,3008,fraud,O
16396,3008,",",O
16397,3008,but,O
16398,3008,was,O
16399,3008,arrested,O
16400,3008,at,O
16401,3008,Plymouth,LOC
16402,3008,just,O
16403,3008,as,O
16404,3008,he,O
16405,3008,was,O
16406,3008,on,O
16407,3008,the,O
16408,3008,point,O
16409,3008,of,O
16410,3008,leaving,O
16411,3008,England,LOC
16412,3008,in,O
16413,3008,the,O
16414,3008,New,LOC
16415,3008,York,LOC
16416,3008,packet,O
16417,3008,.,O
18947,3178,Mr,O
18948,3178,.,O
18949,3178,Gee,PER
18950,3178,went,O
18951,3178,in,O
18952,3178,the,O
18953,3178,coach,O
18954,3178,sent,O
18955,3178,for,O
18956,3178,him,O
18957,3178,",",O
18958,3178,and,O
18959,3178,alighted,O
18960,3178,at,O
18961,3178,27,O
18962,3178,",",O
18963,3178,York,LOC
18964,3178,Street,LOC
18965,3178,",",O
18966,3178,West,LOC
18967,3178,",",O
18968,3178,Commercial,LOC
18969,3178,Road,LOC
18970,3178,.,O
19727,3250,He,O
19728,3250,was,O
19729,3250,about,O
19730,3250,to,O
19731,3250,emigrate,O
19732,3250,to,O
19733,3250,New,LOC
19734,3250,South,LOC
19735,3250,Wales,LOC
19736,3250,",",O
19737,3250,when,O
19738,3250,he,O
19739,3250,was,O
19740,3250,arrested,O
19741,3250,at,O
19742,3250,Islington,LOC
19743,3250,and,O
19744,3250,committed,O
19745,3250,to,O
19746,3250,Newgate,LOC
19747,3250,on,O
19748,3250,a,O
19749,3250,charge,O
19750,3250,of,O
19751,3250,receiving,O
19752,3250,stolen,O
19753,3250,goods,O
19754,3250,.,O
21648,3404,They,O
21649,3404,presented,O
21650,3404,themselves,O
21651,3404,about,O
21652,3404,noon,O
21653,3404,one,O
21654,3404,day,O
21655,3404,at,O
21656,3404,the,O
21657,3404,dissecting,O
21658,3404,room,O
21659,3404,of,O
21660,3404,King,LOC
21661,3404,',LOC
21662,3404,s,LOC
21663,3404,College,LOC
21664,3404,Hospital,LOC
21665,3404,",",O
21666,3404,accompanied,O
21667,3404,by,O
21668,3404,a,O
21669,3404,third,O
21670,3404,man,O
21671,3404,",",O
22544,3489,Greenacre,PER
22545,3489,",",O
22546,3489,when,O
22547,3489,tried,O
22548,3489,at,O
22549,3489,the,O
22550,3489,Old,LOC
22551,3489,Bailey,LOC
22552,3489,",",O
22553,3489,admitted,O
22554,3489,that,O
22555,3489,he,O
22556,3489,had,O
22557,3489,been,O
22558,3489,guilty,O
22559,3489,of,O
22560,3489,manslaughter,O
22561,3489,.,O
24150,3610,One,O
24151,3610,night,O
24152,3610,a,O
24153,3610,quantity,O
24154,3610,of,O
24155,3610,plate,O
24156,3610,was,O
24157,3610,stolen,O
24158,3610,from,O
24159,3610,Windsor,LOC
24160,3610,Castle,LOC
24161,3610,,
24162,3610,another,O
24163,3610,time,O
24164,3610,Buckingham,LOC
24165,3610,Palace,LOC
24166,3610,was,O
24167,3610,robbed,O
24168,3610,.,O
25546,3748,One,O
25547,3748,called,O
25548,3748,his,O
25549,3748,sister,O
25550,3748,",",O
25551,3748,but,O
25552,3748,supposed,O
25553,3748,to,O
25554,3748,be,O
25555,3748,his,O
25556,3748,wife,O
25557,3748,",",O
25558,3748,had,O
25559,3748,occupied,O
25560,3748,a,O
25561,3748,room,O
25562,3748,in,O
25563,3748,South,LOC
25564,3748,Street,LOC
25565,3748,",",O
25566,3748,Manchester,LOC
25567,3748,Square,LOC
25568,3748,",",O
26989,3882,Mrs,O
26990,3882,.,O
26991,3882,Manning,PER
26992,3882,was,O
26993,3882,transferred,O
26994,3882,to,O
26995,3882,London,LOC
26996,3882,and,O
26997,3882,lodged,O
26998,3882,in,O
26999,3882,the,O
27000,3882,Horsemonger,LOC
27001,3882,Lane,LOC
